Protein;Control_1;Control_2;Control_3;Control_4;HU_1;HU_2;HU_3;HU_4
P38116;130913.765625;86544.828125;127707.875;132656.640625;187828.0625;184384.96875;197615.328125;199568.484375
P38120;58794.875;56352.265625;67140.953125;75776.5625;57925.6640625;63480.0234375;65784.09375;59534.2578125
P38121;121935.609375;103972.328125;107613.15625;98838.828125;108106.8125;107682.8359375;100173.03125;103178.640625
P38127;81606.578125;85581.265625;92060.703125;98983.171875;66193.1796875;71453.3046875;77233.328125;83595.2421875
P38129;152912.6875;149519.65625;145649.484375;148441.421875;145197.515625;139156.859375;140055.9375;145011.015625
P38130;179033.578125;188355.390625;186949.390625;159951.09375;275464.59375;248618.546875;264893.40625;232924.578125
P38131;142949.671875;166600.1875;158830.359375;148021.703125;208081.03125;190830.125;206887.90625;219019.890625
P38132;61233.328125;63928.80859375;70155.3828125;68609.7109375;66159.3203125;71674.28125;82733.2734375;89803.8359375
P38137;121956.9140625;130480.4765625;147030.671875;136664.859375;142478.40625;157564.21875;164315.984375;157511.859375
P38138;112885.84375;97999.0234375;109231.2578125;115488.25;131887.609375;119425.015625;116392.9296875;110802.140625
P38139;84186.5703125;160240.09375;156033.390625;173011.765625;105289.1484375;84854.421875;110234.8046875;95024.78125
P38142;56478.546875;42264.203125;56707.69921875;106318.4375;49818.3671875;44285.91015625;52717.42578125;69902.796875
P38143;600658.0625;509260.65625;530519.75;648538.0625;1204126.875;1136627.625;1249059.625;1122606.25
P38144;139031.84375;129487.375;142432.21875;125444.15625;164589.203125;161686.5625;171406.484375;168685.671875
P38145;166767.84375;158138.109375;183971.921875;182738.671875;155578.734375;163530.21875;162944.484375;206027.296875
P38146;115397.3046875;111655.4921875;139880.734375;130478.65625;105502.171875;104099.703125;112028.890625;137163.109375
P38149;79112.4921875;64972.5234375;81706.15625;84918.84375;83339.6171875;99938.1484375;85468.7578125;84498.0546875
P38151;96432.2421875;46779.265625;70631.875;111494.9296875;64756.27734375;55132.46484375;137471.90625;42802.58203125
P38153;80641.25;94840.3203125;95608.4296875;83797.2578125;111399.7109375;109131.6875;83085.03125;83286.8671875
P38162;73630.7734375;62153.7734375;48669.6640625;78355.359375;51930.0703125;39196.9140625;47809.8046875;44608.86328125
P38163;5143.30078125;1613.73901367188;4850.6708984375;0;5239.736328125;5988.8037109375;7309.8046875;7613.91845703125
P38164;34005.6796875;33607.48828125;42494.69921875;28906.31640625;30398.662109375;32296.486328125;30246.28515625;35123.08984375
P38165;56584.4609375;46758.13671875;44729.7421875;44402.4140625;48973.89453125;42727.8359375;50785.58984375;44631.828125
P38166;191761;218833.953125;220177.796875;206921.5625;149446.453125;161569.59375;172103.953125;155564.828125
P38167;72070.515625;71422.2109375;79968.7265625;76406.8828125;60626.8671875;55103.31640625;57565.8125;56094.8671875
P38169;70168.9453125;72909.6171875;92113.7265625;71023.984375;59063.4375;63652.60546875;78559.6171875;71620.46875
P38170;44551.828125;36758.734375;26828.642578125;34731.54296875;32149.919921875;26186.75390625;27932.716796875;28999.52734375
P38174;337328.96875;331362.5;330089.4375;349795.9375;332408.8125;315900.125;320920.3125;329841.9375
P38175;310763.71875;184677.453125;171349.25;265062.78125;191512.9375;185337.625;173894.328125;184502.1875
P38177;57093.4609375;55918.31640625;61870.4765625;63255.51953125;46936.13671875;41182.765625;36972.86328125;44682.4609375
P38181;156203.09375;134336.6875;145597.828125;145015.609375;127118.40625;131187.671875;126038.2421875;131374.859375
P38182;160347.75;209608.34375;210654.25;197558.484375;227381.015625;220309.375;221805.9375;239310.578125
P38187;19146.181640625;18319.134765625;26226.875;23899.4140625;23825.4921875;22176.36328125;18474.58203125;21133.0390625
P38193;88251.03125;57676.796875;59802.57421875;61810.5;65422.64453125;50637.58203125;52345.43359375;56798.00390625
P38197;175797.265625;149964.265625;153487.484375;148807.796875;246703.609375;281361.46875;278807.46875;272205.28125
P38199;428874.625;382932.3125;403228.6875;360533.46875;355985.34375;382653.09375;400591.875;426499.9375
P38202;130257.75;63143.421875;110348.578125;107057.578125;71577.71875;90258.1796875;126475.4140625;126738.9453125
P38203;52816.1640625;27818.22265625;47946.59375;46727.97265625;47988.0625;54797.3046875;79673.5078125;102334.140625
P38205;512637.21875;475946.5625;492381.59375;527305.125;673414.8125;655762;703433.1875;656213.625
P38206;132784.125;153395.96875;138785.234375;122889.6171875;108122.9921875;115455.8125;122319.0546875;132136.921875
P38210;17933.27734375;25513.24609375;24660.125;35261.5390625;31370.77734375;35089.140625;32615.14453125;30066.775390625
P38212;50569.09765625;58686.91015625;52084.65234375;56128.31640625;39230.57421875;42876.12890625;36330.3671875;42822.9140625
P38216;315797.46875;367227.625;364283.5625;361764.03125;259593.546875;218823.359375;270165.34375;234188.578125
P38217;17559.548828125;34434.0546875;34887.515625;24733.517578125;58559.48828125;49823.65625;80033.9140625;99610.8828125
P38218;29109.828125;39276.6015625;48717.77734375;47724.1484375;50833.9609375;42826.41015625;44471.6015625;48832.7578125
P38219;4388719;4293030;4079951;4108486.75;4286645;4504623;4261028.5;4475930
P38221;244338.453125;227098.703125;264594.625;264053.6875;294076.15625;237378.21875;283931.53125;338877.125
P38222;41773.50390625;31480.529296875;29246.6015625;31403.3203125;31098.357421875;25815.23046875;26915.384765625;34473.53515625
P38225;138592.734375;147671.078125;175542.921875;129660.5390625;223813.734375;235721.421875;267191.4375;239854.578125
P38226;47926.0234375;42427.11328125;46104;43100.92578125;41972.84375;42813.671875;34592.84375;49876.37109375
P38228;0;0;0;0;11891.5146484375;11921.68359375;11174.544921875;13005.4521484375
P38230;234071.671875;332574.4375;362943.875;345311.96875;482276.34375;495317.78125;600705.9375;497279.625
P38234;139848.828125;119222.703125;165881.015625;148474.6875;227963.25;238580.984375;335166.96875;281758.8125
P38235;333750.625;359985.71875;415790.625;428456.71875;644467.9375;697928.5;838950.375;751636.25
P38237;219391.515625;199627.984375;208091.75;191249.171875;229826.296875;209466.34375;202771.390625;216961.796875
P38238;148359.859375;118793.0546875;147543.3125;136261.515625;29631.220703125;38297.95703125;44173.8515625;39759.71875
P38239;33554.203125;29177.787109375;32965.74609375;33242.19921875;23602.115234375;22809.234375;24463.06640625;29712.130859375
P38242;505665.40625;434032.125;386460.6875;457242.875;94622.2890625;160262.890625;159461.6875;146751.34375
P38244;34347.91015625;26447.5234375;35632.27734375;36838.4453125;41088.83203125;43621.75390625;43743.96484375;39693.67578125
P38247;71803.21875;58734.5625;75040.078125;89869.7734375;72805.6484375;59202.56640625;74122.2265625;69265.7265625
P38248;8898346;9668358;7954613;7589046;7710003;6350360;7417705;6386003.5
P38249;920967.1875;853812.25;847171.9375;861018.5;843347.1875;871697.25;864459.4375;878044.75
P38250;608870.9375;625469;604089.5625;566056.3125;702282.0625;676907.9375;776428.875;662534.0625
P38251;59420.5;37312.54296875;51848.5078125;61872.89453125;37969.28125;55856.015625;61646.5234375;77652.0859375
P38254;87407.296875;80750.2265625;98077.2109375;82186.4140625;138589.6875;137740.984375;149086.625;142153.796875
P38255;46667.25390625;50124.0546875;47405.79296875;45402.58203125;42152.18359375;40254.6640625;40180.640625;39634.41015625
P38256;108740.15625;128766.2578125;117255.734375;101013.3671875;127446.109375;107149.4140625;111616.9609375;121938.9296875
P38260;77630.7890625;77154.265625;77437.1640625;80622.9609375;172553.9375;161904.59375;176472.796875;186785.640625
P38261;58453.609375;48069.23828125;63586.54296875;56684.359375;55598.73046875;54022.48828125;53939.23046875;57970.328125
P38262;34003.5625;31471.166015625;25880.634765625;56781.30078125;40707.7265625;56074.78515625;44509.5;53884.58984375
P38264;917917.375;737021.6875;885310.5;742176.25;1579565.5;1584272;1581636.5;1724160.375
P38266;61299;75220.2734375;60334.94921875;68468.109375;51485.87109375;49399.8046875;56896.38671875;47118.0546875
P38271;11792.9296875;13041.3212890625;15784.5888671875;12112.6943359375;16399.265625;20349.529296875;23257.671875;24777.75
P38272;89673.0859375;77764.5625;65843.2578125;85867.5390625;81112.140625;74885.5546875;86053.6328125;70936.046875
P38274;0;46644.54296875;48272.15234375;14307.9033203125;45123.00390625;49384.6953125;43456.28125;44201.08984375
P38276;34835.35546875;38312.08984375;41259.9921875;42681.3359375;66509.796875;70107.734375;77282.2734375;78251.2734375
P38281;121552.28125;123393.796875;126595.34375;119288.0234375;118348.9921875;120451.6640625;123466.6640625;116799.7734375
P38283;2924506;2770551.5;4318843.5;3138107;4128435.25;2308509;4528161.5;3289260.75
P38286;116441.71875;119357.296875;191488.03125;133685.5625;258243.59375;299148.25;359719.9375;291227.0625
P38288;336253.9375;345774.6875;260809.484375;350559.15625;381894.25;363407.1875;376197.0625;411349.3125
P38293;78700.75;94024.6015625;0;88275.78125;73880.28125;97138.515625;67943.7265625;67627.9609375
P38295;1049113.25;1002913.125;1115295.125;1074024.875;1044904.875;1006278.8125;1078874;1100448.625
P38297;58909.59375;116805.8828125;82922.0234375;85272.0234375;62638.1484375;22641.14453125;21244.013671875;56357.9140625
P38302;28974.359375;18352.1640625;26568.5703125;30963.6875;48987.1328125;43246.0859375;23167.373046875;35780.39453125
P38304;33061.859375;25953.078125;45215.38671875;40100.99609375;25532.458984375;29059.87109375;31619.521484375;24471.529296875
P38306;0;0;0;0;39329.078125;30801.220703125;30106.03125;0
P38314;112715.2265625;151030.875;179420.0625;139953.375;173334.4375;196543.90625;225257.3125;253497.453125
P38315;61251.73828125;60190.3671875;79140.6171875;71281.1640625;43230.9765625;45132.16015625;45306.1640625;50513.27734375
P38321;27833.697265625;33684.0859375;29631.69921875;25969.94140625;30639.85546875;33234.984375;38894.765625;30709.482421875
P38323;70571.8046875;62018.390625;63597.64453125;70860.65625;73374.71875;71504.953125;74523.328125;72510.6640625
P38325;87050.21875;90960.0703125;133982.53125;96883.9921875;193178.578125;240406.515625;275723.75;235273.28125
P38326;28642.1640625;44687.29296875;32944.20703125;26892.443359375;37450.08203125;30524.724609375;43581.29296875;42861.5703125
P38328;159411.5625;135712.28125;178764.703125;175148.15625;171571.09375;197226.75;244290.734375;224216.015625
P38329;68807.421875;60034.8046875;54850.6875;53731.859375;29193.7265625;31728.388671875;0;14254.4794921875
P38331;35882.27734375;29614.021484375;39308.9375;25618.068359375;39090.44140625;33244.3046875;40678.48828125;49134.51953125
P38332;75839.5546875;88887.8359375;89963.984375;72973.6953125;66449.96875;76973.234375;64494.49609375;60227.87890625
P38333;294609.09375;241452.5;266380.5;273494.1875;254339.25;260995.03125;269670.84375;264190.8125
P38334;23130.580078125;17008.353515625;20422.31640625;19966.798828125;15708.8935546875;17249.10546875;15498.404296875;19809.8515625
P38337;52927.765625;57779.85546875;45424.203125;54145.1640625;36128.76953125;32763.5625;28693.9375;29469.59765625
P38339;90074.3359375;81599.375;89894.421875;89130.1953125;86350.8671875;91690.9609375;93904.7578125;87280.1171875
P38340;123299;123525.8125;114662.1796875;124386.5703125;147530.90625;105454.328125;121711.53125;119143.7421875
P38341;114952.2109375;136203.859375;136714.625;91407.109375;88821.1796875;99431.390625;113271.234375;132817.796875
P38342;130245.3671875;121879.2421875;177926.28125;136553.71875;74859.765625;71008.640625;86327.6328125;76493.9140625
P38344;115817.1015625;95599.8046875;98943.9375;111533.0625;99406.734375;108427.484375;119811.875;112990.328125
P38345;323366.78125;409942.40625;332883.71875;343076.125;254693.75;229972.5;261768.8125;220706.375
P38348;22515.818359375;30337.474609375;42100.953125;33637.16015625;41083.3828125;34578.6171875;40956.953125;44413.9921875
P38349;162103.3125;155925.59375;130018.6875;149691.53125;130698.9140625;133085.375;120400.0234375;124197.1015625
P38351;114088.9375;94272;79479.140625;90983.140625;128600.46875;127824.828125;114821.0390625;126484.296875
P38352;0;0;0;0;18011.166015625;23185.80859375;38730.36328125;31280.541015625
P38353;222788.953125;216784.484375;349342.28125;231320.4375;354583.53125;463527.53125;566154.375;471909.75
P38355;118224.0390625;105730.59375;166795.625;130680.5;88173.9453125;116606.1015625;123742.9296875;143814.953125
P38374;192844.625;102908.9140625;59327.96875;73192.875;452605.21875;481283.15625;447741.96875;546272.0625
P38426;480003.28125;549234.25;558961.6875;547937.125;579969.5;567714.5625;564785.5625;531110.6875
P38427;1428971.375;1810546.125;2028489.75;1792020.5;1948640.25;2046957.125;2079319;2133090
P38428;218981.96875;225584.1875;224839.25;228097.65625;170845.734375;158150.859375;151364.90625;164361.515625
P38429;38053.96875;31651.435546875;30407.291015625;33719.3984375;21769.220703125;22955.935546875;19972.48046875;27247.84765625
P38431;1363696.125;1275775.75;1164546.625;1270663.25;1485591.625;1413244.875;1407829.625;1430536.625
P38439;99750.09375;90234.0078125;79243.171875;87761.6640625;86942.4921875;85955.109375;93046.015625;77415.2421875
P38523;836525.125;663360.3125;615422.5625;744963.0625;794708.75;758960.875;775549.4375;687781.875
P38555;1165533.5;1003094.5;1115740.25;1216560.75;906862.625;980872.625;1029922.125;1118481.25
P38604;32889.60546875;30296.919921875;34000.20703125;28832.216796875;24623.748046875;25926.123046875;30135.662109375;29231.611328125
P38615;21299.162109375;24177.0078125;20746.94140625;22429.705078125;52512.84765625;88692.2890625;58667.21875;72787.6953125
P38616;6241474.5;11820302;10206092;10972804;9539179;10001620;11706987;11818213
P38620;141395.546875;128862.28125;165339.5;152410.96875;117001.1015625;144490.1875;154022.890625;168186.390625
P38623;205762.75;207703.390625;201936.734375;206864.53125;185603.796875;182863.3125;185975.828125;197122.984375
P38624;709997.4375;550957.6875;537017.0625;641297.8125;1204576.625;1196167;1489282;1619682.5
P38625;2553038.75;2468324.25;2922067.75;2487277.5;3037082.25;3213950.5;3021485.25;3212563
P38626;615791.5;569175;616748.875;657524.3125;608313.125;624014.75;625002;656195.4375
P38627;153012.9375;157754.5;225202.71875;170222.859375;210968.21875;241626.53125;234280.984375;242102.125
P38628;208508.234375;199037.84375;197288.1875;210180.0625;205089.84375;201424.46875;217878.71875;214582.03125
P38629;169231.53125;150829.375;157483.109375;166263.96875;169451.71875;174175.8125;173022.0625;181663.984375
P38630;126686.8828125;105858.984375;108056.7890625;95923.390625;90947.421875;97941.8203125;92457.109375;105154.1640625
P38631;1029027.5;871323.375;1200394.625;986974.375;929182.125;992341.75;1142530.25;1088533.75
P38634;57725.57421875;54807.59375;36877.1328125;61341.71875;23408.06640625;28697.169921875;0;23279.591796875
P38635;17351.580078125;63423.3828125;51926.03125;0;73068.6015625;66151.078125;78191.796875;79835.328125
P38636;43140.5390625;51898.71875;43257.5625;39096.19921875;58269.40625;45507.58984375;52098.265625;48795.203125
P38682;551698.0625;531826.625;462850.21875;477231.4375;470113.875;444019.5625;445447.0625;451814.125
P38687;401959.625;379840.0625;419136.5;400423.8125;400426.71875;396032.84375;382055.15625;408742.46875
P38688;294243.21875;269042.875;331917.5;293762.8125;394904.375;454675.46875;484472.96875;466024.96875
P38689;993083.4375;754094.625;1003614;928914.625;890457.625;967083.5;898478.125;970935.9375
P38691;105974.2734375;93144.890625;85388.5703125;75671;50267.703125;44594.1015625;49595.76953125;66761
P38694;119960.5859375;88724.609375;109689.7890625;123513.21875;120066.96875;127018.265625;144467.046875;135213.25
P38695;42387.0234375;97199.8125;110497.6875;115207.6484375;125133.7890625;163616.28125;135966.296875;175432.140625
P38697;77650.5390625;64586.30859375;57858.04296875;62940.91796875;63614.53515625;52478.59375;48069.6171875;64819.07421875
P38698;231099.453125;221450.65625;261949.4375;247813.15625;227787.5625;238661.265625;233004.75;233542.53125
P38700;59773.30859375;45866.8046875;48056.7734375;57486.578125;31748.126953125;33977.83203125;34002.7890625;32480.25390625
P38701;8148307.5;8551024;8274541;7703628;7385955.5;7472561;6788618;7228441
