Protein;Control_1;Control_2;Control_3;Control_4;HU_1;HU_2;HU_3;HU_4
P07260;2464893.5;2348727.5;2402506.75;2203849.5;2363270;2181537;2246083.75;2206205.75
P07262;4858966.5;5141296;5944192.5;4663575;5118992;5261438;5878550;5679612
P07263;781959.3125;677331.0625;782265.9375;787357.3125;798905.1875;824919.0625;867885.5625;857173.3125
P07264;603636.6875;592357.3125;477499.1875;484247.75;655765.75;676270.6875;602633.3125;620271.0625
P07266;0;0;0;0;6204.2724609375;11052.193359375;12818.7861328125;10419.2060546875
P07267;1385915.875;2066570.75;1698367;1573404.25;3685551.5;3411195.25;3352245.5;3558896.5
P07269;59035.78515625;51832.16015625;56120.640625;49233.95703125;36806.25390625;45627.94140625;43577.7578125;48319.70703125
P07273;324870.4375;279124.71875;246791.859375;289480.15625;276561.53125;266270.59375;240931.125;253989.25
P07274;1155578.375;1417697.875;1144683.375;1243083.875;1204526.375;1395690;1247201.25;1199846.5
P07275;295757.53125;354898;389389.9375;364905.0625;434394.0625;457951.15625;461374.53125;454943.78125
P07276;31396.595703125;26802.630859375;23206.865234375;33962.92578125;41729.63671875;37696.57421875;37892.8046875;39078.84765625
P07277;309959.21875;293605.8125;292448.0625;311894.875;274327.9375;278838.65625;268667.09375;246781.828125
P07278;727437.3125;772881;725545.5625;736146.5625;748149.75;727146.625;672888.75;714139.5
P07280;195787.515625;145664.078125;139044.578125;219709.203125;111995.4296875;67036.90625;55434.078125;57253.078125
P07281;24597510;21944402;20753704;22379304;17386122;16111961;17095200;16869654
P07283;3770805.75;4104102.5;3903291.75;3826477.25;3930614.75;3611922.5;3728595.5;3766949.75
P07284;1945985.75;1800760.25;1819618.625;1761732.625;2100765.25;2050368.75;2098143.75;2088646.625
P07285;104371.125;100943.1875;110250.328125;101363.1796875;91126.046875;97514.9609375;94751.5546875;95698.453125
P07342;1277947.75;1220028.25;1091526.5;1134574.125;1276304.375;1304447.25;1105305.75;1307119.875
P07347;186489.171875;137208.53125;179990.0625;170275.265625;106580.7890625;116125.2265625;166714.6875;148523.15625
P07560;1617598.625;1314292.75;1550690.875;1579083.625;2138017.5;2069332;2250047;2414777.75
P07702;379408.375;347186.59375;396689.8125;382918.375;404814.71875;446684.65625;467663.1875;482520.15625
P07703;751925.4375;642740.25;660710.875;690072.875;650828.375;674461.75;641803.6875;651515.75
P07806;2519282.75;2356976.25;2547207.25;2356289;2947437.5;2952929;2939527.5;2972516.75
P07807;77973.328125;76796.9375;72767.6875;77221.0859375;69590.6484375;77116.953125;69378.671875;64815.47265625
P07884;75771.3984375;70796.390625;59655.12109375;67999.5625;36126.9140625;29888.326171875;34626.34765625;27949.50390625
P07991;2022972.125;2358210;2711260.5;2207243.5;3755501;4637930;3990131;4456640.5
P08004;34173.9375;35978.671875;44125.15625;35723.375;38149.6015625;40716.609375;50106.44140625;44645.3515625
P08018;174995.734375;177119.203125;133109.46875;167987.734375;134410.421875;125677.1328125;139882.203125;140078.40625
P08019;0;9287.1455078125;6603.33935546875;11224.52734375;13387.3388671875;12179.88671875;14996.8955078125;17192.482421875
P08067;142228.765625;194178.625;154121.609375;170241.328125;360613.21875;394823.5;432004.71875;393879.53125
P08417;836839.9375;847822.6875;894868.9375;917698.875;865117.1875;888392;871312.375;892692.625
P08432;47335.65234375;22073.201171875;39846.2890625;58964.38671875;33360.0390625;17070.9296875;29204.037109375;27325.9453125
P08456;572865.375;457416.3125;546826.0625;522443.21875;378254.125;403026.5;413171.03125;410309.15625
